close,high,low,open,portofolio,time
300.65,301.59,299.68,300.47,1.0,1508551204
300.38,301.97,299.02,300.61,1.0,1508554800
297.21,300.85,296.38,300.32,1.0,1508558415
298.49,301.32,296.93,297.21,1.0,1508562005
299.1,299.55,297.06,298.49,1.0,1508565605
298.25,299.35,297.72,299.11,1.0,1508569212
297.06,298.3,296.01,298.16,1.0,1508572803
296.72,297.99,296.54,297.06,1.0,1508576407
295.75,297.58,295.56,296.73,1.0,1508580023
294.91,296.3,294.34,295.92,1.0,1508583605
294.76,294.91,293.7,294.91,1.0,1508587207
294.8,295.6,294.12,294.51,1.0,1508590837
293.38,296.5,293.0,294.81,1.0,1508594402
291.27,294.57,289.31,293.3,1.0,1508598001
293.28,293.81,290.4,291.23,1.0,1508601600
296.36,299.74,290.44,293.43,1.0,1508605207
298.08,300.97,295.08,296.36,1.0087038419703924,1508608807
297.36,298.68,296.0,297.96,1.0087038419703924,1508612408
296.77,300.34,295.05,297.23,1.0087038419703924,1508616010
299.58,300.18,296.28,296.75,1.0087038419703924,1508619603
300.35,300.57,298.98,299.58,1.0087038419703924,1508623202
299.23,300.38,297.53,300.31,1.0087038419703924,1508626811
300.81,301.9,299.28,299.87,1.0087038419703924,1508630407
303.0,303.0,300.64,300.88,1.0087038419703924,1508634046
303.99,305.0,302.23,303.0,1.0087038419703924,1508637605
300.96,305.62,300.01,304.15,1.0087038419703924,1508641208
295.67,302.48,295.28,300.91,1.0087038419703924,1508644803
295.71,297.42,292.5,295.4,1.0087038419703924,1508648404
296.01,296.5,292.25,295.71,1.0087038419703924,1508652000
294.13,296.16,293.55,295.92,0.9919980183128058,1508655614
296.19,296.4,293.52,294.18,0.9832578090981948,1508659210
292.94,296.32,292.0,296.19,0.969718028041298,1508662800
291.56,294.66,291.27,293.22,0.969718028041298,1508666403
292.39,292.8,290.08,291.5,0.969718028041298,1508670012
293.62,294.3,290.97,292.39,0.969718028041298,1508673611
296.09,296.43,293.6,293.81,0.9569096686508273,1508677229
295.72,296.74,294.6,296.37,0.9569096686508273,1508680801
295.2,296.0,294.2,295.62,0.9529750235148675,1508684426
293.66,295.3,293.0,295.24,0.9529750235148675,1508688001
292.52,294.01,292.52,293.45,0.9529750235148675,1508691613
290.97,293.0,290.82,292.51,0.9529750235148675,1508695201
291.48,292.23,289.99,290.98,0.9529750235148675,1508698805
289.4,292.27,289.4,291.54,0.9529750235148675,1508702415
293.54,293.85,289.41,289.41,0.9529750235148675,1508706012
291.83,294.92,290.99,293.53,0.9529750235148675,1508709648
293.55,294.1,291.51,291.83,0.9529750235148675,1508713202
293.28,293.96,291.51,293.52,0.9529750235148675,1508716828
